id,Council,IntZ,code
1189,Glasgow City,Knightswood Park East,S02000698
1190,Glasgow City,Knightswood East,S02000699
1191,Glasgow City,Maryhill West,S02000700
1192,Glasgow City,Milton West,S02000701
1193,Glasgow City,Anniesland East,S02000702
1194,Glasgow City,Knightswood West,S02000703
1195,Glasgow City,Maryhill East,S02000704
1196,Glasgow City,Anniesland West,S02000705
1197,Glasgow City,Knightswood Park West,S02000706
1198,Glasgow City,Yoker North,S02000707
1199,Glasgow City,Milton East,S02000708
1200,Glasgow City,Blairdardie East,S02000709
1201,Glasgow City,Summerston North,S02000710
1202,Glasgow City,Blairdardie West,S02000711
1203,Glasgow City,Drumchapel South,S02000712
1204,Glasgow City,Summerston Central and West,S02000713
1205,Glasgow City,Drumry West,S02000714
1206,Glasgow City,Drumchapel North,S02000715
1207,Glasgow City,Drumry East,S02000716
1208,Glasgow City,Shettleston South,S02000611
1209,Glasgow City,Toryglen and Oatlands,S02000610
1210,Glasgow City,Shawlands West,S02000609
1211,Glasgow City,Pollok South and West,S02000608
1212,Glasgow City,Battlefield,S02000607
1213,Glasgow City,Crookston North,S02000606
1214,Glasgow City,Shawlands East,S02000605
1215,Glasgow City,Langside,S02000604
1216,Glasgow City,Mount Florida,S02000603
1217,Glasgow City,Pollokshaws,S02000602
1218,Glasgow City,Crookston South,S02000601
1219,Glasgow City,Kingspark North,S02000600
1220,Glasgow City,Cathcart,S02000599
1221,Glasgow City,Merrylee and Millbrae,S02000598
1222,Glasgow City,Nitshill,S02000597
1223,Glasgow City,Newlands,S02000596
1224,Glasgow City,Kingspark South,S02000595
1225,Glasgow City,Carnwadric East,S02000594
1226,Glasgow City,Muirend and Old Cathcart,S02000593
1227,Glasgow City,Carnwadric West,S02000592
1228,Glasgow City,Carmunnock North,S02000591
1229,Glasgow City,Darnley North,S02000590
1230,Glasgow City,Castlemilk,S02000589
1231,Glasgow City,Glenwood North,S02000588
1232,Glasgow City,Darnley East,S02000587
1233,Glasgow City,Darnley West,S02000586
1234,Glasgow City,Glenwood South,S02000585
1235,Glasgow City,Carmunnock South,S02000584
