"","ReferenceArea","code","value","variable","Area"
"1","Scotland","S92000003",10194,"All","Country"
"2","Scotland","S92000003",25493,"65 And Over","Country"
"3","S01003424","S01003424",20833,"65 And Over","Data Zones"
"4","S01000329","S01000329",12644,"65 And Over","Data Zones"
"5","S01003425","S01003425",40385,"65 And Over","Data Zones"
"6","S01000330","S01000330",13613,"65 And Over","Data Zones"
"7","S01006133","S01006133",26190,"65 And Over","Data Zones"
"8","S01003426","S01003426",45408,"65 And Over","Data Zones"
"9","S01000331","S01000331",18243,"65 And Over","Data Zones"
"10","S01000332","S01000332",19186,"65 And Over","Data Zones"
"11","S01004973","S01004973",21244,"65 And Over","Data Zones"
"12","S01000333","S01000333",10924,"65 And Over","Data Zones"
"13","S01003427","S01003427",32955,"65 And Over","Data Zones"
"14","S01000334","S01000334",21491,"65 And Over","Data Zones"
"15","S01005747","S01005747",18919,"65 And Over","Data Zones"
"16","S01000335","S01000335",21311,"65 And Over","Data Zones"
"17","S01003428","S01003428",57407,"65 And Over","Data Zones"
"18","S01000336","S01000336",22917,"65 And Over","Data Zones"
"19","S01004974","S01004974",20588,"65 And Over","Data Zones"
"20","S01003429","S01003429",40000,"65 And Over","Data Zones"
"21","S01000337","S01000337",20370,"65 And Over","Data Zones"
"22","S01000338","S01000338",28319,"65 And Over","Data Zones"
"23","S01004975","S01004975",15517,"65 And Over","Data Zones"
"24","S01003430","S01003430",41379,"65 And Over","Data Zones"
"25","S01000339","S01000339",15596,"65 And Over","Data Zones"
"26","S01000340","S01000340",23464,"65 And Over","Data Zones"
"27","S01006423","S01006423",14286,"65 And Over","Data Zones"
"28","S01000341","S01000341",17647,"65 And Over","Data Zones"
"29","S01003431","S01003431",50691,"65 And Over","Data Zones"
"30","S01000342","S01000342",16352,"65 And Over","Data Zones"
"31","S01004976","S01004976",24084,"65 And Over","Data Zones"
"32","S01005748","S01005748",23200,"65 And Over","Data Zones"
"33","S01000343","S01000343",17857,"65 And Over","Data Zones"
"34","S01003432","S01003432",7692,"65 And Over","Data Zones"
"35","S01000344","S01000344",25625,"65 And Over","Data Zones"
"36","S01000345","S01000345",13043,"65 And Over","Data Zones"
"37","S01003433","S01003433",29630,"65 And Over","Data Zones"
"38","S01004977","S01004977",21698,"65 And Over","Data Zones"
"39","S01000346","S01000346",10448,"65 And Over","Data Zones"
"40","S01000347","S01000347",18033,"65 And Over","Data Zones"
"41","S01003434","S01003434",28977,"65 And Over","Data Zones"
"42","S01000348","S01000348",19658,"65 And Over","Data Zones"
"43","S01006134","S01006134",21348,"65 And Over","Data Zones"
"44","S01000349","S01000349",35593,"65 And Over","Data Zones"
"45","S01003435","S01003435",65152,"65 And Over","Data Zones"
"46","S01000350","S01000350",21552,"65 And Over","Data Zones"
"47","S01004978","S01004978",9816,"65 And Over","Data Zones"
"48","S01003436","S01003436",32787,"65 And Over","Data Zones"
"49","S01000351","S01000351",24627,"65 And Over","Data Zones"
"50","S01000352","S01000352",10625,"65 And Over","Data Zones"
"51","S01005749","S01005749",22543,"65 And Over","Data Zones"
"52","S01000353","S01000353",6061,"65 And Over","Data Zones"
"53","S01003437","S01003437",19048,"65 And Over","Data Zones"
"54","S01000354","S01000354",17355,"65 And Over","Data Zones"
"55","S01004979","S01004979",15979,"65 And Over","Data Zones"
"56","S01000355","S01000355",26263,"65 And Over","Data Zones"
"57","S01003438","S01003438",48649,"65 And Over","Data Zones"
"58","S01000356","S01000356",15054,"65 And Over","Data Zones"
"59","S01006327","S01006327",19469,"65 And Over","Data Zones"
"60","S01000357","S01000357",10000,"65 And Over","Data Zones"
"61","S01004980","S01004980",18182,"65 And Over","Data Zones"
"62","S01000358","S01000358",12857,"65 And Over","Data Zones"
"63","S01003439","S01003439",36396,"65 And Over","Data Zones"
"64","S01000359","S01000359",14894,"65 And Over","Data Zones"
"65","S01003440","S01003440",59649,"65 And Over","Data Zones"
"66","S01000360","S01000360",13158,"65 And Over","Data Zones"
"67","S01006135","S01006135",42708,"65 And Over","Data Zones"
"68","S01003441","S01003441",37681,"65 And Over","Data Zones"
"69","S01000361","S01000361",13684,"65 And Over","Data Zones"
"70","S01000362","S01000362",21528,"65 And Over","Data Zones"
"71","S01004981","S01004981",17961,"65 And Over","Data Zones"
"72","S01003442","S01003442",42177,"65 And Over","Data Zones"
"73","S01000363","S01000363",12139,"65 And Over","Data Zones"
"74","S01005750","S01005750",31852,"65 And Over","Data Zones"
"75","S01000364","S01000364",23529,"65 And Over","Data Zones"
"76","S01004982","S01004982",16000,"65 And Over","Data Zones"
"77","S01000365","S01000365",14035,"65 And Over","Data Zones"
"78","S01003443","S01003443",39286,"65 And Over","Data Zones"
"79","S01000366","S01000366",14458,"65 And Over","Data Zones"
"80","S01000367","S01000367",10976,"65 And Over","Data Zones"
"81","S01003444","S01003444",73737,"65 And Over","Data Zones"
"82","S01000368","S01000368",18317,"65 And Over","Data Zones"
"83","S01005751","S01005751",13793,"65 And Over","Data Zones"
"84","S01000369","S01000369",13095,"65 And Over","Data Zones"
"85","S01003445","S01003445",40741,"65 And Over","Data Zones"
"86","S01000370","S01000370",14516,"65 And Over","Data Zones"
"87","S01000371","S01000371",29231,"65 And Over","Data Zones"
"88","S01003446","S01003446",85714,"65 And Over","Data Zones"
"89","S01000372","S01000372",21244,"65 And Over","Data Zones"
"90","S01004983","S01004983",15228,"65 And Over","Data Zones"
"91","S01000373","S01000373",16505,"65 And Over","Data Zones"
"92","S01003447","S01003447",43523,"65 And Over","Data Zones"
"93","S01000374","S01000374",26667,"65 And Over","Data Zones"
"94","S01005752","S01005752",33684,"65 And Over","Data Zones"
"95","S01003448","S01003448",38728,"65 And Over","Data Zones"
"96","S01000375","S01000375",15217,"65 And Over","Data Zones"
"97","S01000376","S01000376",25210,"65 And Over","Data Zones"
"98","S01004984","S01004984",24551,"65 And Over","Data Zones"
"99","S01000377","S01000377",13636,"65 And Over","Data Zones"
"100","S01004985","S01004985",26761,"65 And Over","Data Zones"
"101","S01003449","S01003449",17544,"65 And Over","Data Zones"
"102","S01000378","S01000378",22353,"65 And Over","Data Zones"
"103","S01003450","S01003450",39604,"65 And Over","Data Zones"
"104","S01000379","S01000379",13235,"65 And Over","Data Zones"
"105","S01006136","S01006136",44340,"65 And Over","Data Zones"
"106","S01000380","S01000380",15741,"65 And Over","Data Zones"
"107","S01006328","S01006328",42748,"65 And Over","Data Zones"
"108","S01000381","S01000381",20949,"65 And Over","Data Zones"
"109","S01000382","S01000382",27193,"65 And Over","Data Zones"
"110","S01003451","S01003451",32927,"65 And Over","Data Zones"
"111","S01000383","S01000383",23894,"65 And Over","Data Zones"
"112","S01003452","S01003452",23853,"65 And Over","Data Zones"
"113","S01000384","S01000384",12575,"65 And Over","Data Zones"
"114","S01004986","S01004986",28947,"65 And Over","Data Zones"
"115","S01000385","S01000385",22973,"65 And Over","Data Zones"
"116","S01003453","S01003453",26087,"65 And Over","Data Zones"
"117","S01000386","S01000386",24540,"65 And Over","Data Zones"
"118","S01005753","S01005753",30851,"65 And Over","Data Zones"
"119","S01000387","S01000387",18644,"65 And Over","Data Zones"
"120","S01003454","S01003454",14634,"65 And Over","Data Zones"
"121","S01004987","S01004987",14433,"65 And Over","Data Zones"
"122","S01000388","S01000388",16393,"65 And Over","Data Zones"
"123","S01000389","S01000389",13889,"65 And Over","Data Zones"
"124","S01004988","S01004988",22368,"65 And Over","Data Zones"
"125","S01000390","S01000390",23214,"65 And Over","Data Zones"
"126","S01003455","S01003455",55932,"65 And Over","Data Zones"
"127","S01000391","S01000391",22353,"65 And Over","Data Zones"
"128","S01006424","S01006424",26852,"65 And Over","Data Zones"
"129","S01000392","S01000392",17925,"65 And Over","Data Zones"
"130","S01003456","S01003456",37838,"65 And Over","Data Zones"
"131","S01000393","S01000393",22363,"65 And Over","Data Zones"
"132","S01003457","S01003457",42735,"65 And Over","Data Zones"
"133","S01000394","S01000394",15294,"65 And Over","Data Zones"
"134","S01004989","S01004989",11656,"65 And Over","Data Zones"
"135","S01000395","S01000395",18182,"65 And Over","Data Zones"
"136","S01005754","S01005754",19535,"65 And Over","Data Zones"
"137","S01000396","S01000396",29545,"65 And Over","Data Zones"
"138","S01003458","S01003458",43902,"65 And Over","Data Zones"
"139","S01000397","S01000397",29434,"65 And Over","Data Zones"
"140","S01003459","S01003459",50000,"65 And Over","Data Zones"
"141","S01000398","S01000398",12000,"65 And Over","Data Zones"
"142","S01004990","S01004990",16964,"65 And Over","Data Zones"
"143","S01003460","S01003460",38318,"65 And Over","Data Zones"
"144","S01000399","S01000399",23232,"65 And Over","Data Zones"
"145","S01000400","S01000400",19512,"65 And Over","Data Zones"
"146","S01005755","S01005755",30147,"65 And Over","Data Zones"
"147","S01000401","S01000401",18548,"65 And Over","Data Zones"
"148","S01003461","S01003461",31214,"65 And Over","Data Zones"
"149","S01000402","S01000402",26016,"65 And Over","Data Zones"
"150","S01006137","S01006137",13889,"65 And Over","Data Zones"
"151","S01000403","S01000403",23429,"65 And Over","Data Zones"
"152","S01003462","S01003462",48000,"65 And Over","Data Zones"
"153","S01000404","S01000404",18018,"65 And Over","Data Zones"
"154","S01004991","S01004991",16535,"65 And Over","Data Zones"
"155","S01006138","S01006138",24026,"65 And Over","Data Zones"
"156","S01000405","S01000405",8824,"65 And Over","Data Zones"
"157","S01003463","S01003463",38095,"65 And Over","Data Zones"
"158","S01000406","S01000406",23810,"65 And Over","Data Zones"
"159","S01000407","S01000407",24786,"65 And Over","Data Zones"
"160","S01003464","S01003464",47059,"65 And Over","Data Zones"
"161","S01000408","S01000408",21311,"65 And Over","Data Zones"
"162","S01004992","S01004992",28191,"65 And Over","Data Zones"
"163","S01000409","S01000409",7895,"65 And Over","Data Zones"
"164","S01003465","S01003465",29524,"65 And Over","Data Zones"
"165","S01000410","S01000410",10000,"65 And Over","Data Zones"
"166","S01005756","S01005756",22973,"65 And Over","Data Zones"
"167","S01000411","S01000411",18072,"65 And Over","Data Zones"
"168","S01003466","S01003466",63736,"65 And Over","Data Zones"
"169","S01000412","S01000412",10753,"65 And Over","Data Zones"
"170","S01004993","S01004993",22314,"65 And Over","Data Zones"
"171","S01000413","S01000413",24026,"65 And Over","Data Zones"
"172","S01003467","S01003467",33099,"65 And Over","Data Zones"
"173","S01000414","S01000414",9302,"65 And Over","Data Zones"
"174","S01006329","S01006329",23864,"65 And Over","Data Zones"
"175","S01000415","S01000415",19251,"65 And Over","Data Zones"
"176","S01003468","S01003468",35849,"65 And Over","Data Zones"
"177","S01000416","S01000416",24752,"65 And Over","Data Zones"
"178","S01004994","S01004994",13525,"65 And Over","Data Zones"
"179","S01000417","S01000417",14428,"65 And Over","Data Zones"
"180","S01003469","S01003469",27465,"65 And Over","Data Zones"
"181","S01000418","S01000418",11538,"65 And Over","Data Zones"
"182","S01005757","S01005757",17722,"65 And Over","Data Zones"
"183","S01003470","S01003470",27451,"65 And Over","Data Zones"
"184","S01000419","S01000419",11957,"65 And Over","Data Zones"
"185","S01000420","S01000420",20614,"65 And Over","Data Zones"
"186","S01004995","S01004995",25279,"65 And Over","Data Zones"
"187","S01000421","S01000421",20833,"65 And Over","Data Zones"
"188","S01003471","S01003471",26506,"65 And Over","Data Zones"
"189","S01000422","S01000422",24878,"65 And Over","Data Zones"
"190","S01005758","S01005758",26812,"65 And Over","Data Zones"
"191","S01003472","S01003472",27273,"65 And Over","Data Zones"
"192","S01000423","S01000423",4762,"65 And Over","Data Zones"
"193","S01004996","S01004996",17778,"65 And Over","Data Zones"
"194","S01000424","S01000424",16883,"65 And Over","Data Zones"
"195","S01000425","S01000425",20219,"65 And Over","Data Zones"
"196","S01006139","S01006139",26496,"65 And Over","Data Zones"
"197","S01000426","S01000426",21359,"65 And Over","Data Zones"
"198","S01003473","S01003473",28571,"65 And Over","Data Zones"
"199","S01000427","S01000427",19697,"65 And Over","Data Zones"
"200","S01003474","S01003474",35484,"65 And Over","Data Zones"
"201","S01000428","S01000428",17021,"65 And Over","Data Zones"
"202","S01004997","S01004997",27879,"65 And Over","Data Zones"
"203","S01000429","S01000429",11304,"65 And Over","Data Zones"
"204","S01004998","S01004998",19512,"65 And Over","Data Zones"
"205","S01000430","S01000430",9091,"65 And Over","Data Zones"
"206","S01003475","S01003475",57962,"65 And Over","Data Zones"
"207","S01000431","S01000431",29032,"65 And Over","Data Zones"
"208","S01006472","S01006472",25000,"65 And Over","Data Zones"
"209","S01000432","S01000432",16058,"65 And Over","Data Zones"
"210","S01003476","S01003476",36957,"65 And Over","Data Zones"
"211","S01005759","S01005759",16949,"65 And Over","Data Zones"
"212","S01000433","S01000433",35252,"65 And Over","Data Zones"
"213","S01003477","S01003477",26923,"65 And Over","Data Zones"
"214","S01000434","S01000434",21111,"65 And Over","Data Zones"
"215","S01000435","S01000435",11828,"65 And Over","Data Zones"
"216","S01004999","S01004999",14216,"65 And Over","Data Zones"
"217","S01003478","S01003478",25000,"65 And Over","Data Zones"
"218","S01000436","S01000436",19718,"65 And Over","Data Zones"
"219","S01003479","S01003479",17241,"65 And Over","Data Zones"
"220","S01000437","S01000437",18145,"65 And Over","Data Zones"
"221","S01000438","S01000438",9756,"65 And Over","Data Zones"
"222","S01005000","S01005000",19853,"65 And Over","Data Zones"
"223","S01000439","S01000439",15116,"65 And Over","Data Zones"
"224","S01003480","S01003480",38298,"65 And Over","Data Zones"
"225","S01000440","S01000440",17391,"65 And Over","Data Zones"
"226","S01006140","S01006140",22857,"65 And Over","Data Zones"
"227","S01000441","S01000441",23333,"65 And Over","Data Zones"
"228","S01005760","S01005760",22430,"65 And Over","Data Zones"
"229","S01000442","S01000442",29508,"65 And Over","Data Zones"
"230","S01003481","S01003481",38854,"65 And Over","Data Zones"
"231","S01000443","S01000443",9639,"65 And Over","Data Zones"
"232","S01003482","S01003482",35043,"65 And Over","Data Zones"
"233","S01000444","S01000444",8824,"65 And Over","Data Zones"
"234","S01005001","S01005001",22703,"65 And Over","Data Zones"
"235","S01003483","S01003483",36620,"65 And Over","Data Zones"
"236","S01000445","S01000445",7602,"65 And Over","Data Zones"
"237","S01000446","S01000446",15517,"65 And Over","Data Zones"
"238","S01005002","S01005002",22769,"65 And Over","Data Zones"
"239","S01000447","S01000447",15152,"65 And Over","Data Zones"
"240","S01003484","S01003484",24194,"65 And Over","Data Zones"
"241","S01000448","S01000448",11111,"65 And Over","Data Zones"
"242","S01005761","S01005761",29545,"65 And Over","Data Zones"
"243","S01000449","S01000449",23077,"65 And Over","Data Zones"
"244","S01003485","S01003485",11628,"65 And Over","Data Zones"
"245","S01005003","S01005003",17683,"65 And Over","Data Zones"
"246","S01000450","S01000450",17241,"65 And Over","Data Zones"
"247","S01000451","S01000451",18116,"65 And Over","Data Zones"
"248","S01003486","S01003486",41000,"65 And Over","Data Zones"
"249","S01000452","S01000452",20253,"65 And Over","Data Zones"
"250","S01006425","S01006425",32558,"65 And Over","Data Zones"
"251","S01000453","S01000453",12371,"65 And Over","Data Zones"
"252","S01003487","S01003487",47222,"65 And Over","Data Zones"
"253","S01005004","S01005004",23881,"65 And Over","Data Zones"
"254","S01000454","S01000454",15315,"65 And Over","Data Zones"
"255","S01005762","S01005762",26923,"65 And Over","Data Zones"
"256","S01000455","S01000455",23387,"65 And Over","Data Zones"
"257","S01000456","S01000456",13158,"65 And Over","Data Zones"
"258","S01003488","S01003488",34466,"65 And Over","Data Zones"
"259","S01000457","S01000457",30418,"65 And Over","Data Zones"
"260","S01003489","S01003489",30714,"65 And Over","Data Zones"
"261","S01005005","S01005005",29885,"65 And Over","Data Zones"
"262","S01000458","S01000458",13761,"65 And Over","Data Zones"
"263","S01003490","S01003490",53390,"65 And Over","Data Zones"
"264","S01000459","S01000459",24696,"65 And Over","Data Zones"
"265","S01000460","S01000460",19463,"65 And Over","Data Zones"
"266","S01006141","S01006141",34731,"65 And Over","Data Zones"
"267","S01003491","S01003491",24000,"65 And Over","Data Zones"
"268","S01000461","S01000461",37778,"65 And Over","Data Zones"
"269","S01005006","S01005006",26404,"65 And Over","Data Zones"
"270","S01000462","S01000462",26829,"65 And Over","Data Zones"
"271","S01000463","S01000463",14458,"65 And Over","Data Zones"
"272","S01003492","S01003492",32692,"65 And Over","Data Zones"
"273","S01000464","S01000464",17829,"65 And Over","Data Zones"
"274","S01005763","S01005763",37143,"65 And Over","Data Zones"
"275","S01000465","S01000465",6667,"65 And Over","Data Zones"
"276","S01003493","S01003493",40506,"65 And Over","Data Zones"
"277","S01005007","S01005007",30599,"65 And Over","Data Zones"
"278","S01000466","S01000466",10084,"65 And Over","Data Zones"
"279","S01000467","S01000467",19835,"65 And Over","Data Zones"
"280","S01003494","S01003494",39512,"65 And Over","Data Zones"
"281","S01006330","S01006330",38211,"65 And Over","Data Zones"
"282","S01000468","S01000468",13043,"65 And Over","Data Zones"
"283","S01000469","S01000469",7143,"65 And Over","Data Zones"
"284","S01003495","S01003495",29293,"65 And Over","Data Zones"
"285","S01000470","S01000470",15169,"65 And Over","Data Zones"
"286","S01005008","S01005008",19289,"65 And Over","Data Zones"
"287","S01000471","S01000471",27451,"65 And Over","Data Zones"
"288","S01003496","S01003496",23810,"65 And Over","Data Zones"
"289","S01000472","S01000472",11250,"65 And Over","Data Zones"
"290","S01005764","S01005764",32381,"65 And Over","Data Zones"
"291","S01003497","S01003497",26852,"65 And Over","Data Zones"
"292","S01000473","S01000473",11458,"65 And Over","Data Zones"
"293","S01000474","S01000474",9091,"65 And Over","Data Zones"
"294","S01005009","S01005009",21965,"65 And Over","Data Zones"
"295","S01000475","S01000475",21849,"65 And Over","Data Zones"
"296","S01003498","S01003498",46569,"65 And Over","Data Zones"
"297","S01000476","S01000476",13043,"65 And Over","Data Zones"
"298","S01006331","S01006331",34444,"65 And Over","Data Zones"
"299","S01000477","S01000477",13772,"65 And Over","Data Zones"
"300","S01005010","S01005010",24348,"65 And Over","Data Zones"
"301","S01000478","S01000478",16848,"65 And Over","Data Zones"
"302","S01003499","S01003499",31507,"65 And Over","Data Zones"
"303","S01000479","S01000479",18269,"65 And Over","Data Zones"
"304","S01003500","S01003500",15789,"65 And Over","Data Zones"
"305","S01000480","S01000480",22481,"65 And Over","Data Zones"
"306","S01006142","S01006142",13194,"65 And Over","Data Zones"
"307","S01000481","S01000481",13551,"65 And Over","Data Zones"
"308","S01003501","S01003501",14706,"65 And Over","Data Zones"
"309","S01000482","S01000482",37013,"65 And Over","Data Zones"
"310","S01005011","S01005011",35882,"65 And Over","Data Zones"
"311","S01003502","S01003502",18072,"65 And Over","Data Zones"
"312","S01000483","S01000483",18803,"65 And Over","Data Zones"
"313","S01000484","S01000484",20408,"65 And Over","Data Zones"
"314","S01005765","S01005765",34351,"65 And Over","Data Zones"
"315","S01003503","S01003503",42424,"65 And Over","Data Zones"
"316","S01000485","S01000485",19091,"65 And Over","Data Zones"
"317","S01006143","S01006143",13043,"65 And Over","Data Zones"
"318","S01000486","S01000486",32558,"65 And Over","Data Zones"
"319","S01003504","S01003504",8571,"65 And Over","Data Zones"
"320","S01000487","S01000487",19342,"65 And Over","Data Zones"
"321","S01005012","S01005012",23913,"65 And Over","Data Zones"
"322","S01000488","S01000488",22360,"65 And Over","Data Zones"
"323","S01000489","S01000489",20197,"65 And Over","Data Zones"
"324","S01005013","S01005013",21839,"65 And Over","Data Zones"
"325","S01000490","S01000490",25316,"65 And Over","Data Zones"
"326","S01003506","S01003506",44928,"65 And Over","Data Zones"
"327","S01003507","S01003507",26087,"65 And Over","Data Zones"
"328","S01000491","S01000491",8197,"65 And Over","Data Zones"
"329","S01005766","S01005766",19737,"65 And Over","Data Zones"
"330","S01000492","S01000492",34000,"65 And Over","Data Zones"
"331","S01000493","S01000493",35503,"65 And Over","Data Zones"
"332","S01003508","S01003508",37179,"65 And Over","Data Zones"
"333","S01000494","S01000494",23188,"65 And Over","Data Zones"
"334","S01003509","S01003509",19048,"65 And Over","Data Zones"
"335","S01000495","S01000495",14948,"65 And Over","Data Zones"
"336","S01005014","S01005014",13084,"65 And Over","Data Zones"
"337","S01000496","S01000496",8491,"65 And Over","Data Zones"
"338","S01003510","S01003510",28846,"65 And Over","Data Zones"
"339","S01000497","S01000497",21138,"65 And Over","Data Zones"
"340","S01005015","S01005015",29252,"65 And Over","Data Zones"
"341","S01000498","S01000498",8982,"65 And Over","Data Zones"
"342","S01000499","S01000499",20745,"65 And Over","Data Zones"
"343","S01003511","S01003511",28058,"65 And Over","Data Zones"
"344","S01005767","S01005767",15789,"65 And Over","Data Zones"
"345","S01000500","S01000500",33735,"65 And Over","Data Zones"
"346","S01000501","S01000501",25000,"65 And Over","Data Zones"
"347","S01005016","S01005016",17949,"65 And Over","Data Zones"
"348","S01003512","S01003512",29940,"65 And Over","Data Zones"
"349","S01000502","S01000502",18571,"65 And Over","Data Zones"
"350","S01000503","S01000503",20213,"65 And Over","Data Zones"
"351","S01006426","S01006426",35976,"65 And Over","Data Zones"
"352","S01000504","S01000504",33019,"65 And Over","Data Zones"
"353","S01003513","S01003513",24000,"65 And Over","Data Zones"
"354","S01000505","S01000505",18333,"65 And Over","Data Zones"
"355","S01003514","S01003514",36207,"65 And Over","Data Zones"
"356","S01000506","S01000506",31507,"65 And Over","Data Zones"
"357","S01005017","S01005017",18041,"65 And Over","Data Zones"
"358","S01000507","S01000507",29614,"65 And Over","Data Zones"
"359","S01005768","S01005768",26027,"65 And Over","Data Zones"
"360","S01000508","S01000508",19429,"65 And Over","Data Zones"
"361","S01003515","S01003515",21296,"65 And Over","Data Zones"
"362","S01000509","S01000509",22932,"65 And Over","Data Zones"
"363","S01003516","S01003516",16832,"65 And Over","Data Zones"
"364","S01000510","S01000510",24684,"65 And Over","Data Zones"
"365","S01005018","S01005018",17000,"65 And Over","Data Zones"
"366","S01000511","S01000511",11881,"65 And Over","Data Zones"
"367","S01003517","S01003517",33333,"65 And Over","Data Zones"
"368","S01000512","S01000512",16017,"65 And Over","Data Zones"
"369","S01005769","S01005769",33871,"65 And Over","Data Zones"
"370","S01000513","S01000513",25967,"65 And Over","Data Zones"
"371","S01003518","S01003518",35246,"65 And Over","Data Zones"
"372","S01000514","S01000514",21477,"65 And Over","Data Zones"
"373","S01005019","S01005019",33594,"65 And Over","Data Zones"
"374","S01000515","S01000515",9184,"65 And Over","Data Zones"
"375","S01003519","S01003519",65854,"65 And Over","Data Zones"
"376","S01006144","S01006144",21586,"65 And Over","Data Zones"
"377","S01000516","S01000516",21053,"65 And Over","Data Zones"
"378","S01003520","S01003520",27143,"65 And Over","Data Zones"
"379","S01000517","S01000517",25309,"65 And Over","Data Zones"
"380","S01000518","S01000518",27751,"65 And Over","Data Zones"
"381","S01005020","S01005020",21595,"65 And Over","Data Zones"
"382","S01000519","S01000519",14286,"65 And Over","Data Zones"
"383","S01005770","S01005770",37349,"65 And Over","Data Zones"
"384","S01000520","S01000520",15351,"65 And Over","Data Zones"
"385","S01003521","S01003521",30435,"65 And Over","Data Zones"
"386","S01000521","S01000521",27059,"65 And Over","Data Zones"
"387","S01003522","S01003522",21538,"65 And Over","Data Zones"
"388","S01000522","S01000522",25000,"65 And Over","Data Zones"
"389","S01006332","S01006332",30469,"65 And Over","Data Zones"
"390","S01003523","S01003523",23387,"65 And Over","Data Zones"
"391","S01000523","S01000523",21320,"65 And Over","Data Zones"
"392","S01000524","S01000524",10853,"65 And Over","Data Zones"
"393","S01005021","S01005021",18644,"65 And Over","Data Zones"
"394","S01000525","S01000525",13853,"65 And Over","Data Zones"
"395","S01005022","S01005022",23438,"65 And Over","Data Zones"
"396","S01000526","S01000526",18717,"65 And Over","Data Zones"
"397","S01003524","S01003524",26168,"65 And Over","Data Zones"
"398","S01000527","S01000527",10101,"65 And Over","Data Zones"
"399","S01005771","S01005771",10976,"65 And Over","Data Zones"
"400","S01000528","S01000528",15385,"65 And Over","Data Zones"
"401","S01003525","S01003525",21084,"65 And Over","Data Zones"
"402","S01000529","S01000529",28082,"65 And Over","Data Zones"
"403","S01005023","S01005023",17241,"65 And Over","Data Zones"
"404","S01000530","S01000530",10870,"65 And Over","Data Zones"
"405","S01003526","S01003526",18293,"65 And Over","Data Zones"
"406","S01000531","S01000531",20388,"65 And Over","Data Zones"
"407","S01003527","S01003527",28986,"65 And Over","Data Zones"
"408","S01006145","S01006145",40625,"65 And Over","Data Zones"
"409","S01000532","S01000532",29798,"65 And Over","Data Zones"
"410","S01000533","S01000533",16340,"65 And Over","Data Zones"
"411","S01003528","S01003528",30233,"65 And Over","Data Zones"
"412","S01000534","S01000534",18012,"65 And Over","Data Zones"
"413","S01005024","S01005024",18450,"65 And Over","Data Zones"
"414","S01000535","S01000535",14798,"65 And Over","Data Zones"
"415","S01003529","S01003529",20833,"65 And Over","Data Zones"
"416","S01005772","S01005772",26667,"65 And Over","Data Zones"
"417","S01000536","S01000536",23529,"65 And Over","Data Zones"
"418","S01000537","S01000537",32624,"65 And Over","Data Zones"
"419","S01003530","S01003530",15254,"65 And Over","Data Zones"
"420","S01000538","S01000538",21277,"65 And Over","Data Zones"
"421","S01005025","S01005025",27439,"65 And Over","Data Zones"
"422","S01000539","S01000539",20548,"65 And Over","Data Zones"
"423","S01003531","S01003531",24675,"65 And Over","Data Zones"
"424","S01000540","S01000540",21477,"65 And Over","Data Zones"
"425","S01006473","S01006473",23239,"65 And Over","Data Zones"
"426","S01000541","S01000541",32632,"65 And Over","Data Zones"
"427","S01005026","S01005026",16201,"65 And Over","Data Zones"
"428","S01003532","S01003532",41262,"65 And Over","Data Zones"
"429","S01000542","S01000542",20741,"65 And Over","Data Zones"
"430","S01000543","S01000543",13768,"65 And Over","Data Zones"
"431","S01003533","S01003533",0,"65 And Over","Data Zones"
"432","S01006146","S01006146",25140,"65 And Over","Data Zones"
"433","S01000544","S01000544",14458,"65 And Over","Data Zones"
"434","S01000545","S01000545",21905,"65 And Over","Data Zones"
"435","S01003534","S01003534",33019,"65 And Over","Data Zones"
"436","S01000546","S01000546",8917,"65 And Over","Data Zones"
"437","S01005027","S01005027",23478,"65 And Over","Data Zones"
"438","S01000547","S01000547",20155,"65 And Over","Data Zones"
"439","S01003535","S01003535",38182,"65 And Over","Data Zones"
"440","S01005773","S01005773",9009,"65 And Over","Data Zones"
"441","S01000548","S01000548",23109,"65 And Over","Data Zones"
"442","S01003536","S01003536",23967,"65 And Over","Data Zones"
"443","S01000549","S01000549",20388,"65 And Over","Data Zones"
"444","S01000550","S01000550",15217,"65 And Over","Data Zones"
"445","S01005028","S01005028",22543,"65 And Over","Data Zones"
"446","S01005774","S01005774",25197,"65 And Over","Data Zones"
"447","S01000551","S01000551",23420,"65 And Over","Data Zones"
"448","S01000552","S01000552",14966,"65 And Over","Data Zones"
"449","S01003537","S01003537",51389,"65 And Over","Data Zones"
"450","S01000553","S01000553",12887,"65 And Over","Data Zones"
"451","S01003538","S01003538",24107,"65 And Over","Data Zones"
"452","S01000554","S01000554",11268,"65 And Over","Data Zones"
"453","S01005029","S01005029",22115,"65 And Over","Data Zones"
"454","S01000555","S01000555",22222,"65 And Over","Data Zones"
"455","S01003539","S01003539",25532,"65 And Over","Data Zones"
"456","S01000556","S01000556",21000,"65 And Over","Data Zones"
"457","S01006333","S01006333",28736,"65 And Over","Data Zones"
"458","S01003540","S01003540",19643,"65 And Over","Data Zones"
"459","S01000557","S01000557",28221,"65 And Over","Data Zones"
"460","S01000558","S01000558",25000,"65 And Over","Data Zones"
"461","S01005030","S01005030",18142,"65 And Over","Data Zones"
"462","S01000559","S01000559",35260,"65 And Over","Data Zones"
"463","S01003541","S01003541",54839,"65 And Over","Data Zones"
"464","S01005775","S01005775",24719,"65 And Over","Data Zones"
"465","S01000560","S01000560",14583,"65 And Over","Data Zones"
"466","S01003542","S01003542",26316,"65 And Over","Data Zones"
